family_size,age_group_distribution,income_level,preferred_travel_month,home_state,travel_mode_preference,average_stay_days,accommodation_preference,food_preference,activity_preference,destination_city,destination_type,state_of_destination,distance_from_home,average_weather,crowd_level,safety_index,nearest_airport_km,avg_hotel_cost_per_night,popular_attractions,transport_cost,stay_cost,food_cost,activity_cost,total_budget
3,"2 kids, 1 adults, 0 seniors",High,May,Odisha,Flight,11,Hotel,Mixed,Sightseeing,Rishikesh,Adventure,Uttarakhand,2372,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",3669,26400,13200,11813,55082
4,"3 kids, 1 adults, 0 seniors",Low,June,Odisha,Bus,5,Hotel,Veg,Adventure,Hampi,Historical,Karnataka,2190,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",732,10000,6000,1066,17798
8,"1 kids, 2 adults, 5 seniors",Middle,September,Rajasthan,Train,11,Hotel,Non-Veg,Wildlife,Darjeeling,Hill Station,West Bengal,1023,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",1704,33000,39600,3053,77357
5,"2 kids, 2 adults, 1 seniors",High,August,Kerala,Train,3,Hotel,Non-Veg,Wildlife,Goa,Beach,Goa,229,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",500,13500,6750,6798,27548
7,"0 kids, 2 adults, 5 seniors",Low,January,Odisha,Train,10,Hotel,Special Dietary,Sightseeing,Rishikesh,Adventure,Uttarakhand,741,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",1358,24000,38500,11355,75213
6,"3 kids, 1 adults, 2 seniors",Middle,July,Goa,Train,12,Hotel,Special Dietary,Pilgrimage,Varanasi,Pilgrimage,Uttar Pradesh,421,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",930,24000,39600,2976,67506
7,"0 kids, 1 adults, 6 seniors",Middle,June,Bihar,Bus,5,Hotel,Special Dietary,Sightseeing,Jaipur,Historical,Rajasthan,951,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",560,16000,19250,4289,40099
3,"0 kids, 2 adults, 1 seniors",High,September,Kerala,Train,10,Homestay,Veg,Sightseeing,Munnar,Hill Station,Kerala,436,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",324,24000,9000,4443,37767
3,"1 kids, 1 adults, 1 seniors",Low,January,Tamil Nadu,Train,9,Hotel,Special Dietary,Sightseeing,Goa,Beach,Goa,1415,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",354,40500,14850,1479,57183
6,"0 kids, 6 adults, 0 seniors",Middle,January,West Bengal,Flight,10,Hotel,Veg,Sightseeing,Shimla,Hill Station,Himachal Pradesh,2637,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",8706,32000,18000,6031,64737
8,"1 kids, 4 adults, 3 seniors",Low,October,Goa,Flight,2,Resort,Special Dietary,Food & Market,Jim Corbett,Wildlife,Uttarakhand,2515,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",14752,10500,8800,4091,38143
4,"1 kids, 3 adults, 0 seniors",Middle,April,Uttarakhand,Train,12,Resort,Special Dietary,Relaxation,Darjeeling,Hill Station,West Bengal,497,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",400,54000,26400,4254,85054
6,"0 kids, 1 adults, 5 seniors",Middle,September,Uttarakhand,Train,7,Budget Lodge,Non-Veg,Relaxation,Kovalam,Beach,Kerala,846,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",774,12600,18900,7830,40104
6,"2 kids, 1 adults, 3 seniors",Middle,September,Uttarakhand,Car,3,Budget Lodge,Non-Veg,Relaxation,Shimla,Hill Station,Himachal Pradesh,638,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",6437,5760,8100,1773,22070
4,"2 kids, 1 adults, 1 seniors",Middle,April,Assam,Flight,6,Resort,Mixed,Adventure,Shimla,Hill Station,Himachal Pradesh,2798,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",7644,28800,9600,2766,48810
2,"0 kids, 2 adults, 0 seniors",Middle,November,Uttarakhand,Train,9,Resort,Special Dietary,Wildlife,Manali,Hill Station,Himachal Pradesh,658,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",200,47250,9900,6160,63510
3,"2 kids, 1 adults, 0 seniors",High,October,Uttar Pradesh,Train,4,Hotel,Mixed,Adventure,Agra,Historical,Uttar Pradesh,235,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",426,10000,4800,2544,17770
7,"0 kids, 3 adults, 4 seniors",Middle,July,West Bengal,Bus,5,Budget Lodge,Non-Veg,Pilgrimage,Manali,Hill Station,Himachal Pradesh,934,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",770,10500,15750,3221,30241
8,"3 kids, 2 adults, 3 seniors",Middle,December,Kerala,Train,2,Budget Lodge,Non-Veg,Sightseeing,Varanasi,Pilgrimage,Uttar Pradesh,1632,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",1264,2400,7200,1232,12096
3,"0 kids, 3 adults, 0 seniors",Low,June,Uttarakhand,Bus,6,Hotel,Special Dietary,Food & Market,Rishikesh,Adventure,Uttarakhand,359,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",240,14400,9900,3889,28429
4,"1 kids, 3 adults, 0 seniors",High,May,Maharashtra,Train,8,Hotel,Mixed,Pilgrimage,Jim Corbett,Wildlife,Uttarakhand,2294,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",648,28000,12800,4655,46103
6,"1 kids, 3 adults, 2 seniors",Low,July,Maharashtra,Flight,10,Resort,Non-Veg,Relaxation,Jaipur,Historical,Rajasthan,486,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",7200,48000,27000,5604,87804
4,"0 kids, 3 adults, 1 seniors",Middle,November,Tamil Nadu,Train,6,Resort,Non-Veg,Pilgrimage,Kaziranga,Wildlife,Assam,1752,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",1052,23400,10800,7628,42880
3,"2 kids, 1 adults, 0 seniors",Middle,January,Uttarakhand,Train,8,Homestay,Mixed,Pilgrimage,Varanasi,Pilgrimage,Uttar Pradesh,2011,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",846,12800,9600,1175,24421
6,"3 kids, 3 adults, 0 seniors",Low,February,Uttarakhand,Flight,12,Resort,Veg,Sightseeing,Kaziranga,Wildlife,Assam,1471,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",7200,46800,21600,8107,83707
3,"0 kids, 1 adults, 2 seniors",Low,August,West Bengal,Bus,3,Hotel,Non-Veg,Food & Market,Hampi,Historical,Karnataka,1772,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",363,6000,4050,3773,14186
3,"0 kids, 3 adults, 0 seniors",Middle,February,Bihar,Train,4,Homestay,Special Dietary,Adventure,Rishikesh,Adventure,Uttarakhand,1220,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",300,7680,6600,9478,24058
3,"1 kids, 2 adults, 0 seniors",High,August,West Bengal,Bus,10,Hotel,Special Dietary,Sightseeing,Hampi,Historical,Karnataka,2144,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",402,20000,16500,2623,39525
8,"1 kids, 7 adults, 0 seniors",Middle,September,Karnataka,Flight,6,Hotel,Mixed,Sightseeing,Kovalam,Beach,Kerala,1575,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",9600,18000,19200,5424,52224
2,"0 kids, 1 adults, 1 seniors",Low,December,Rajasthan,Bus,3,Hotel,Mixed,Wildlife,Varanasi,Pilgrimage,Uttar Pradesh,1903,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",160,6000,2400,1147,9707
8,"3 kids, 4 adults, 1 seniors",High,October,Punjab,Train,11,Hotel,Veg,Relaxation,Kovalam,Beach,Kerala,1797,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1600,33000,26400,5409,66409
7,"1 kids, 4 adults, 2 seniors",Low,July,Karnataka,Train,7,Resort,Special Dietary,Food & Market,Munnar,Hill Station,Kerala,2114,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",1057,31500,26950,5597,65104
6,"0 kids, 4 adults, 2 seniors",Middle,November,Maharashtra,Train,8,Hotel,Special Dietary,Sightseeing,Manali,Hill Station,Himachal Pradesh,1265,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",888,28000,26400,3181,58469
3,"1 kids, 2 adults, 0 seniors",Middle,July,Uttarakhand,Bus,8,Hotel,Veg,Pilgrimage,Manali,Hill Station,Himachal Pradesh,2409,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",288,28000,7200,3366,38854
3,"2 kids, 1 adults, 0 seniors",Middle,November,Maharashtra,Bus,5,Hotel,Veg,Wildlife,Munnar,Hill Station,Kerala,1177,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",240,15000,4500,4379,24119
7,"0 kids, 5 adults, 2 seniors",High,August,Punjab,Train,7,Hotel,Veg,Sightseeing,Kovalam,Beach,Kerala,642,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1043,21000,14700,1210,37953
4,"3 kids, 1 adults, 0 seniors",High,April,Kerala,Flight,12,Hotel,Mixed,Food & Market,Jim Corbett,Wildlife,Uttarakhand,695,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",4800,42000,19200,7911,73911
2,"1 kids, 1 adults, 0 seniors",Middle,February,Uttar Pradesh,Flight,2,Homestay,Special Dietary,Adventure,Jaipur,Historical,Rajasthan,1683,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",2558,5120,2200,1753,11631
5,"1 kids, 3 adults, 1 seniors",Middle,September,Bihar,Flight,8,Homestay,Mixed,Relaxation,Goa,Beach,Goa,554,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",6000,28800,16000,4692,55492
3,"1 kids, 2 adults, 0 seniors",Middle,August,Odisha,Train,9,Hotel,Mixed,Relaxation,Kovalam,Beach,Kerala,2641,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1020,27000,10800,3263,42083
6,"0 kids, 5 adults, 1 seniors",High,February,Goa,Bus,9,Resort,Non-Veg,Food & Market,Varanasi,Pilgrimage,Uttar Pradesh,2210,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",822,27000,24300,370,52492
2,"1 kids, 1 adults, 0 seniors",Middle,April,Uttarakhand,Flight,7,Hotel,Mixed,Pilgrimage,Hampi,Historical,Karnataka,2454,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",3220,14000,5600,3382,26202
7,"3 kids, 3 adults, 1 seniors",Middle,April,Kerala,Bus,7,Hotel,Non-Veg,Sightseeing,Goa,Beach,Goa,2183,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",798,31500,22050,6935,61283
6,"2 kids, 1 adults, 3 seniors",High,May,Goa,Train,6,Hotel,Non-Veg,Relaxation,Manali,Hill Station,Himachal Pradesh,423,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",744,21000,16200,2893,40837
7,"1 kids, 6 adults, 0 seniors",High,August,Kerala,Bus,11,Hotel,Special Dietary,Pilgrimage,Agra,Historical,Uttar Pradesh,955,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",560,27500,42350,2568,72978
8,"3 kids, 1 adults, 4 seniors",High,July,Karnataka,Train,12,Resort,Non-Veg,Sightseeing,Darjeeling,Hill Station,West Bengal,2505,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",1816,54000,43200,1197,100213
3,"0 kids, 3 adults, 0 seniors",Middle,October,West Bengal,Bus,5,Homestay,Special Dietary,Pilgrimage,Varanasi,Pilgrimage,Uttar Pradesh,1417,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",450,8000,8250,2710,19410
5,"2 kids, 3 adults, 0 seniors",Middle,October,Punjab,Train,5,Resort,Mixed,Food & Market,Shimla,Hill Station,Himachal Pradesh,843,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",500,24000,10000,1923,36423
6,"0 kids, 2 adults, 4 seniors",Low,August,Punjab,Flight,6,Hotel,Mixed,Food & Market,Kovalam,Beach,Kerala,2059,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",7200,18000,14400,6631,46231
3,"1 kids, 1 adults, 1 seniors",Middle,September,Goa,Flight,6,Homestay,Veg,Adventure,Munnar,Hill Station,Kerala,1459,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",3771,14400,5400,2864,26435
5,"0 kids, 4 adults, 1 seniors",Middle,December,Tamil Nadu,Car,10,Resort,Special Dietary,Adventure,Jim Corbett,Wildlife,Uttarakhand,363,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",3988,52500,27500,7517,91505
4,"2 kids, 1 adults, 1 seniors",Low,November,Odisha,Bus,11,Budget Lodge,Mixed,Wildlife,Manali,Hill Station,Himachal Pradesh,917,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",320,23100,17600,4751,45771
7,"3 kids, 3 adults, 1 seniors",Low,October,Tamil Nadu,Flight,9,Budget Lodge,Special Dietary,Relaxation,Jaipur,Historical,Rajasthan,1565,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",8400,17280,34650,5989,66319
2,"0 kids, 2 adults, 0 seniors",Middle,August,Uttarakhand,Flight,8,Homestay,Veg,Pilgrimage,Shimla,Hill Station,Himachal Pradesh,1488,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",2400,20480,4800,3148,30828
2,"1 kids, 1 adults, 0 seniors",Middle,September,Karnataka,Train,5,Resort,Special Dietary,Food & Market,Varanasi,Pilgrimage,Uttar Pradesh,411,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",200,15000,5500,1393,22093
6,"1 kids, 3 adults, 2 seniors",Middle,December,Karnataka,Train,12,Resort,Non-Veg,Food & Market,Munnar,Hill Station,Kerala,1472,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",1248,54000,32400,612,88260
6,"3 kids, 1 adults, 2 seniors",Low,February,Karnataka,Car,12,Homestay,Special Dietary,Food & Market,Kovalam,Beach,Kerala,2284,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",19031,28800,39600,4403,91834
8,"3 kids, 4 adults, 1 seniors",Low,September,Rajasthan,Train,11,Resort,Non-Veg,Adventure,Kovalam,Beach,Kerala,1899,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1504,49500,39600,7452,98056
6,"2 kids, 1 adults, 3 seniors",Middle,May,Odisha,Flight,12,Hotel,Non-Veg,Pilgrimage,Rishikesh,Adventure,Uttarakhand,2183,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",8772,28800,32400,7446,77418
6,"3 kids, 2 adults, 1 seniors",High,April,Punjab,Train,8,Hotel,Special Dietary,Adventure,Agra,Historical,Uttar Pradesh,2137,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",1800,20000,26400,3623,51823
5,"1 kids, 4 adults, 0 seniors",High,March,Uttar Pradesh,Car,7,Budget Lodge,Special Dietary,Adventure,Rishikesh,Adventure,Uttarakhand,2071,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",16799,10080,19250,4361,50490
5,"1 kids, 1 adults, 3 seniors",Middle,May,Himachal Pradesh,Flight,8,Resort,Mixed,Food & Market,Rishikesh,Adventure,Uttarakhand,1756,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",6000,28800,16000,9994,60794
8,"0 kids, 2 adults, 6 seniors",Low,November,Uttarakhand,Car,3,Hotel,Veg,Food & Market,Hampi,Historical,Karnataka,611,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",5996,6000,7200,1862,21058
7,"2 kids, 1 adults, 4 seniors",Low,January,Uttarakhand,Train,8,Hotel,Special Dietary,Wildlife,Kaziranga,Wildlife,Assam,937,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",700,20800,30800,2934,55234
2,"1 kids, 1 adults, 0 seniors",Middle,October,Rajasthan,Train,12,Hotel,Mixed,Food & Market,Manali,Hill Station,Himachal Pradesh,2105,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",382,42000,9600,6050,58032
6,"1 kids, 1 adults, 4 seniors",Middle,June,West Bengal,Train,8,Resort,Special Dietary,Relaxation,Goa,Beach,Goa,1775,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",1290,54000,26400,1873,83563
3,"1 kids, 2 adults, 0 seniors",Middle,December,Uttarakhand,Train,12,Hotel,Veg,Wildlife,Kaziranga,Wildlife,Assam,400,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",411,31200,10800,7604,50015
5,"2 kids, 1 adults, 2 seniors",Middle,June,Goa,Flight,11,Hotel,Non-Veg,Food & Market,Shimla,Hill Station,Himachal Pradesh,2770,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",7510,35200,24750,3030,70490
8,"3 kids, 1 adults, 4 seniors",Middle,December,Rajasthan,Train,6,Hotel,Special Dietary,Sightseeing,Goa,Beach,Goa,741,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",1176,27000,26400,3997,58573
6,"2 kids, 2 adults, 2 seniors",Middle,August,Bihar,Train,7,Homestay,Special Dietary,Adventure,Munnar,Hill Station,Kerala,1124,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",1272,16800,23100,6432,47604
7,"3 kids, 3 adults, 1 seniors",Low,July,Maharashtra,Train,3,Hotel,Mixed,Wildlife,Jaipur,Historical,Rajasthan,1721,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",798,9600,8400,2415,21213
5,"0 kids, 5 adults, 0 seniors",High,September,Himachal Pradesh,Car,5,Resort,Special Dietary,Food & Market,Kovalam,Beach,Kerala,1872,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",15414,22500,13750,2145,53809
2,"0 kids, 2 adults, 0 seniors",High,February,Kerala,Train,10,Hotel,Special Dietary,Relaxation,Kaziranga,Wildlife,Assam,2412,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",498,26000,11000,6311,43809
7,"1 kids, 4 adults, 2 seniors",Middle,August,West Bengal,Train,6,Hotel,Mixed,Sightseeing,Varanasi,Pilgrimage,Uttar Pradesh,2021,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",1197,12000,16800,1785,31782
2,"1 kids, 1 adults, 0 seniors",Low,May,Goa,Car,9,Hotel,Non-Veg,Food & Market,Kaziranga,Wildlife,Assam,2645,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",21403,23400,8100,1914,54817
8,"2 kids, 2 adults, 4 seniors",High,October,Goa,Train,10,Hotel,Non-Veg,Sightseeing,Agra,Historical,Uttar Pradesh,804,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",1328,25000,36000,523,62851
4,"1 kids, 1 adults, 2 seniors",Middle,March,Kerala,Flight,2,Hotel,Mixed,Sightseeing,Jim Corbett,Wildlife,Uttarakhand,1526,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",4800,7000,3200,2927,17927
4,"0 kids, 2 adults, 2 seniors",Middle,September,Kerala,Bus,9,Hotel,Mixed,Wildlife,Jim Corbett,Wildlife,Uttarakhand,646,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",320,31500,14400,5627,51847
3,"2 kids, 1 adults, 0 seniors",Middle,November,Uttar Pradesh,Train,12,Budget Lodge,Veg,Pilgrimage,Jaipur,Historical,Rajasthan,1946,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",840,23040,10800,1384,36064
5,"3 kids, 1 adults, 1 seniors",High,June,West Bengal,Train,4,Hotel,Mixed,Pilgrimage,Jim Corbett,Wildlife,Uttarakhand,2373,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",1070,14000,8000,5216,28286
6,"3 kids, 1 adults, 2 seniors",Middle,February,Odisha,Flight,10,Homestay,Non-Veg,Pilgrimage,Varanasi,Pilgrimage,Uttar Pradesh,1135,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",7200,16000,27000,1688,51888
8,"3 kids, 4 adults, 1 seniors",Middle,February,Himachal Pradesh,Train,12,Hotel,Non-Veg,Food & Market,Varanasi,Pilgrimage,Uttar Pradesh,474,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",800,24000,43200,649,68649
2,"1 kids, 1 adults, 0 seniors",Middle,June,Bihar,Train,2,Resort,Mixed,Food & Market,Shimla,Hill Station,Himachal Pradesh,1882,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",380,9600,1600,5950,17530
8,"3 kids, 1 adults, 4 seniors",High,October,Uttarakhand,Train,11,Resort,Non-Veg,Food & Market,Varanasi,Pilgrimage,Uttar Pradesh,1118,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",800,33000,39600,1734,75134
8,"2 kids, 1 adults, 5 seniors",Middle,October,Goa,Bus,10,Budget Lodge,Veg,Wildlife,Kaziranga,Wildlife,Assam,1295,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",640,15600,24000,2977,43217
4,"2 kids, 2 adults, 0 seniors",Middle,March,Odisha,Train,12,Hotel,Non-Veg,Food & Market,Kaziranga,Wildlife,Assam,325,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",400,31200,21600,7612,60812
6,"1 kids, 4 adults, 1 seniors",Middle,June,Rajasthan,Train,7,Homestay,Veg,Adventure,Munnar,Hill Station,Kerala,844,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",1260,16800,12600,5561,36221
2,"0 kids, 2 adults, 0 seniors",Middle,July,Karnataka,Flight,8,Hotel,Veg,Relaxation,Jaipur,Historical,Rajasthan,654,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",2400,25600,4800,5358,38158
5,"2 kids, 1 adults, 2 seniors",Low,October,Maharashtra,Train,6,Budget Lodge,Non-Veg,Relaxation,Kovalam,Beach,Kerala,1543,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",515,10800,13500,1063,25878
5,"3 kids, 1 adults, 1 seniors",Low,September,Punjab,Train,10,Homestay,Mixed,Adventure,Jaipur,Historical,Rajasthan,373,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",500,25600,20000,653,46753
5,"0 kids, 3 adults, 2 seniors",Middle,October,Tamil Nadu,Bus,8,Hotel,Special Dietary,Adventure,Agra,Historical,Uttar Pradesh,903,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",585,20000,22000,5563,48148
5,"2 kids, 1 adults, 2 seniors",Middle,February,Goa,Train,8,Resort,Special Dietary,Relaxation,Hampi,Historical,Karnataka,1590,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",665,24000,22000,3228,49893
8,"1 kids, 1 adults, 6 seniors",Middle,February,Uttar Pradesh,Flight,7,Hotel,Non-Veg,Sightseeing,Shimla,Hill Station,Himachal Pradesh,799,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",9600,22400,25200,2116,59316
3,"2 kids, 1 adults, 0 seniors",Middle,November,Kerala,Train,12,Hotel,Special Dietary,Food & Market,Jim Corbett,Wildlife,Uttarakhand,2758,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",756,42000,19800,8579,71135
